walk,l1,l2,x0
351,130,130.000000,-130
352,12,12.000000,-12
353,6,6.000000,6
354,70,70.000000,70
355,38,38.000000,-38
356,38,38.000000,-38
357,78,78.000000,78
358,98,98.000000,-98
359,72,72.000000,72
360,100,100.000000,-100
361,132,132.000000,-132
362,18,18.000000,18
363,78,78.000000,78
364,26,26.000000,-26
365,14,14.000000,14
366,6,6.000000,6
367,78,78.000000,78
368,58,58.000000,-58
369,64,64.000000,64
370,10,10.000000,-10
371,68,68.000000,-68
372,10,10.000000,-10
